dayno,dow,sums1,sums2,cc
3288,0,457,506,59
3289,1,435,517,69
3290,2,436,508,102
3291,3,419,544,82
3292,4,420,544,80
3293,5,414,569,78
3294,6,439,571,81
3295,0,506,551,55
3296,1,517,547,87
3297,2,508,565,86
3298,3,544,549,100
3299,4,544,567,82
3300,5,569,569,53
3301,6,571,544,59
3302,0,551,522,60
3303,1,547,527,73
3304,2,565,513,60
3305,3,549,487,55
3306,4,567,442,50
3307,5,569,410,86
3308,6,544,443,68
3309,0,522,452,57
3310,1,527,449,68
3311,2,513,444,112
3312,3,487,496,85
3313,4,442,526,68
3314,5,410,544,79
3315,6,443,537,62
3316,0,452,531,57
3317,1,449,531,77
3318,2,444,540,82
3319,3,496,510,79
3320,4,526,504,74
3321,5,544,510,81
3322,6,537,512,87
3323,0,531,537,86
3324,1,531,566,73
3325,2,540,562,69
3326,3,510,549,73
3327,4,504,543,58
3328,5,510,527,85
3329,6,512,531,79
3330,0,537,523,57
3331,1,566,494,72
3332,2,562,493,92
3333,3,549,516,46
3334,4,543,489,62
3335,5,527,493,48
3336,6,531,456,46
3337,0,523,423,72
3338,1,494,438,85
3339,2,493,451,90
3340,3,516,449,74
3341,4,489,477,45
3342,5,493,460,88
3343,6,456,500,49
3344,0,423,503,70
3345,1,438,501,84
3346,2,451,500,67
3347,3,449,477,81
3348,4,477,484,52
3349,5,460,491,66
3350,6,500,469,53
3351,0,503,473,64
3352,1,501,467,52
3353,2,500,435,51
3354,3,477,419,83
3355,4,484,421,58
3356,5,491,427,68
3357,6,469,429,86
3358,0,473,462,63
3359,1,467,461,60
3360,2,435,469,61
3361,3,419,479,67
3362,4,421,463,77
3363,5,427,482,80
3364,6,429,494,72
3365,0,462,480,56
3366,1,461,473,66
3367,2,469,479,118
3368,3,479,536,63
3369,4,463,532,70
3370,5,482,525,54
3371,6,494,499,53
3372,0,480,480,56
3373,1,473,480,47
3374,2,479,461,57
3375,3,536,400,55
3376,4,532,392,67
3377,5,525,389,63
3378,6,499,398,48
3379,0,480,393,52
3380,1,480,389,86
3381,2,461,428,103
3382,3,400,474,61
3383,4,392,480,78
3384,5,389,491,68
3385,6,398,496,55
3386,0,393,503,85
3387,1,389,536,62
3388,2,428,512,52
3389,3,474,461,57
3390,4,480,457,83
3391,5,491,462,55
3392,6,496,449,59
3393,0,503,453,74
3394,1,536,442,88
3395,2,512,468,82
3396,3,461,498,66
3397,4,457,507,64
3398,5,462,488,81
3399,6,449,514,61
3400,0,453,516,70
3401,1,442,512,73
3402,2,468,497,65
3403,3,498,480,67
3404,4,507,481,97
3405,5,488,514,57
3406,6,514,490,58
3407,0,516,487,63
3408,1,512,480,70
3409,2,497,477,92
3410,3,480,504,85
3411,4,481,522,79
3412,5,514,504,48
3413,6,490,495,65
3414,0,487,502,72
3415,1,480,511,92
3416,2,477,533,77
3417,3,504,518,89
3418,4,522,522,82
3419,5,504,525,67
3420,6,495,544,59
3421,0,502,538,48
3422,1,511,514,75
3423,2,533,497,76
3424,3,518,496,76
3425,4,522,483,84
3426,5,525,485,54
3427,6,544,472,74
3428,0,538,487,54
3429,1,514,493,82
3430,2,497,500,84
3431,3,496,508,69
3432,4,483,501,63
3433,5,485,480,62
3434,6,472,488,48
3435,0,487,462,53
3436,1,493,461,84
3437,2,500,463,86
3438,3,508,465,64
3439,4,501,460,54
3440,5,480,451,61
3441,6,488,450,65
3442,0,462,467,51
3443,1,461,465,69
3444,2,463,450,59
3445,3,465,423,54
3446,4,460,413,58
3447,5,451,417,60
3448,6,450,416,42
3449,0,467,393,62
3450,1,465,404,63
3451,2,450,398,73
3452,3,423,412,55
3453,4,413,413,63
3454,5,417,418,55
3455,6,416,413,45
3456,0,393,416,66
3457,1,404,420,67
3458,2,398,424,60
3459,3,412,411,57
3460,4,413,413,55
3461,5,418,405,62
3462,6,413,412,120
3463,0,416,487,54
3464,1,420,475,65
3465,2,424,473,76
3466,3,411,489,95
3467,4,413,527,66
3468,5,405,538,75
3469,6,412,551,57
3470,0,487,488,55
3471,1,475,489,69
3472,2,473,493,47
3473,3,489,464,61
3474,4,527,430,51
