dayno,dow,sums1,sums2,cc
3288,0,304,254,25
3289,1,288,243,28
3290,2,261,251,35
3291,3,259,241,33
3292,4,237,246,33
3293,5,231,239,30
3294,6,232,226,25
3295,0,254,209,35
3296,1,243,219,45
3297,2,251,236,52
3298,3,241,253,41
3299,4,246,261,45
3300,5,239,273,23
3301,6,226,266,32
3302,0,209,273,22
3303,1,219,260,32
3304,2,236,247,45
3305,3,253,240,45
3306,4,261,244,30
3307,5,273,229,18
3308,6,266,224,26
3309,0,273,218,27
3310,1,260,223,45
3311,2,247,236,42
3312,3,240,233,31
3313,4,244,219,37
3314,5,229,226,42
3315,6,224,250,33
3316,0,218,257,42
3317,1,223,272,36
3318,2,236,263,43
3319,3,233,264,30
3320,4,219,263,53
3321,5,226,279,40
3322,6,250,277,37
3323,0,257,281,30
3324,1,272,269,41
3325,2,263,274,34
3326,3,264,265,34
3327,4,263,269,26
3328,5,279,242,41
3329,6,277,243,46
3330,0,281,252,30
3331,1,269,252,46
3332,2,274,257,47
3333,3,265,270,34
3334,4,269,270,48
3335,5,242,292,29
3336,6,243,280,38
3337,0,252,272,24
3338,1,252,266,45
3339,2,257,265,39
3340,3,270,257,52
3341,4,270,275,54
3342,5,292,281,27
3343,6,280,279,31
3344,0,272,272,50
3345,1,266,298,34
3346,2,265,287,40
3347,3,257,288,47
3348,4,275,283,49
3349,5,281,278,43
3350,6,279,294,36
3351,0,272,299,39
3352,1,298,288,42
3353,2,287,296,43
3354,3,288,299,39
3355,4,283,291,49
3356,5,278,291,35
3357,6,294,283,26
3358,0,299,273,36
3359,1,288,270,42
3360,2,296,270,35
3361,3,299,262,40
3362,4,291,263,40
3363,5,291,254,28
3364,6,283,247,38
3365,0,273,259,38
3366,1,270,261,51
3367,2,270,270,33
3368,3,262,268,39
3369,4,263,267,42
3370,5,254,269,36
3371,6,247,277,39
3372,0,259,278,46
3373,1,261,286,37
3374,2,270,272,31
3375,3,268,270,21
3376,4,267,252,34
3377,5,269,244,28
3378,6,277,236,47
3379,0,278,244,53
3380,1,286,251,35
3381,2,272,249,45
3382,3,270,263,33
3383,4,252,275,30
3384,5,244,271,25
3385,6,236,268,23
3386,0,244,244,28
3387,1,251,219,39
3388,2,249,223,29
3389,3,263,207,40
3390,4,275,214,43
3391,5,271,227,39
3392,6,268,241,38
3393,0,244,256,27
3394,1,219,255,31
3395,2,223,247,38
3396,3,207,256,49
3397,4,214,265,35
3398,5,227,257,29
3399,6,241,247,40
3400,0,256,249,46
3401,1,255,268,30
3402,2,247,267,41
3403,3,256,270,40
3404,4,265,261,41
3405,5,257,267,38
3406,6,247,276,22
3407,0,249,258,36
3408,1,268,248,34
3409,2,267,252,28
3410,3,270,239,26
3411,4,261,225,47
3412,5,267,231,35
3413,6,276,228,29
3414,0,258,235,35
3415,1,248,234,42
3416,2,252,242,23
3417,3,239,237,35
3418,4,225,246,37
3419,5,231,236,45
3420,6,228,246,26
3421,0,235,243,31
3422,1,234,239,32
3423,2,242,229,39
3424,3,237,245,26
3425,4,246,236,28
3426,5,236,227,44
3427,6,246,226,28
3428,0,243,228,28
3429,1,239,225,38
3430,2,229,231,33
3431,3,245,225,43
3432,4,236,242,40
3433,5,227,254,39
3434,6,226,249,32
3435,0,228,253,27
3436,1,225,252,34
3437,2,231,248,30
3438,3,225,245,27
3439,4,242,229,46
3440,5,254,235,28
3441,6,249,224,29
3442,0,253,221,43
3443,1,252,237,30
3444,2,248,233,32
3445,3,245,235,37
3446,4,229,245,26
3447,5,235,225,35
3448,6,224,232,38
3449,0,221,241,42
3450,1,237,240,28
3451,2,233,238,40
3452,3,235,246,21
3453,4,245,230,43
3454,5,225,247,24
