dayno,dow,sums1,sums2,cc
3288,0,113,136,9
3289,1,118,123,12
3290,2,114,118,17
3291,3,120,117,41
3292,4,113,141,17
3293,5,119,135,7
3294,6,122,125,18
3295,0,136,121,20
3296,1,123,132,15
3297,2,118,135,24
3298,3,117,142,30
3299,4,141,131,17
3300,5,135,131,9
3301,6,125,133,20
3302,0,121,135,23
3303,1,132,138,27
3304,2,135,150,10
3305,3,142,136,18
3306,4,131,124,25
3307,5,131,132,21
3308,6,133,144,9
3309,0,135,133,20
3310,1,138,130,16
3311,2,150,119,26
3312,3,136,135,30
3313,4,124,147,19
3314,5,132,141,14
3315,6,144,134,18
3316,0,133,143,15
3317,1,130,138,11
3318,2,119,133,26
3319,3,135,133,23
3320,4,147,126,18
3321,5,141,125,20
3322,6,134,131,15
3323,0,143,128,16
3324,1,138,129,19
3325,2,133,137,25
3326,3,133,136,20
3327,4,126,133,19
3328,5,125,134,14
3329,6,131,128,15
3330,0,128,128,15
3331,1,129,127,12
3332,2,137,120,20
3333,3,136,115,24
3334,4,133,119,18
3335,5,134,118,12
3336,6,128,116,22
3337,0,128,123,12
3338,1,127,120,18
3339,2,120,126,25
3340,3,115,131,18
3341,4,119,125,31
3342,5,118,138,29
3343,6,116,155,19
3344,0,123,152,17
3345,1,120,157,26
3346,2,126,165,28
3347,3,131,168,12
3348,4,125,162,17
3349,5,138,148,19
3350,6,155,138,26
3351,0,152,145,27
3352,1,157,155,20
3353,2,165,149,16
3354,3,168,137,18
3355,4,162,143,22
3356,5,148,148,22
3357,6,138,151,12
3358,0,145,137,23
3359,1,155,133,15
3360,2,149,128,16
3361,3,137,128,19
3362,4,143,129,15
3363,5,148,122,16
3364,6,151,116,16
3365,0,137,120,19
3366,1,133,116,15
3367,2,128,116,22
3368,3,128,122,11
3369,4,129,114,18
3370,5,122,117,15
3371,6,116,116,14
3372,0,120,114,17
3373,1,116,112,14
3374,2,116,111,17
3375,3,122,106,20
3376,4,114,115,24
3377,5,117,121,19
3378,6,116,125,19
3379,0,114,130,13
3380,1,112,126,18
3381,2,111,130,9
3382,3,106,122,21
3383,4,115,123,16
3384,5,121,115,18
3385,6,125,114,21
3386,0,130,116,16
3387,1,126,119,21
3388,2,130,122,16
3389,3,122,129,29
3390,4,123,137,19
3391,5,115,140,22
3392,6,114,144,19
3393,0,116,142,16
3394,1,119,142,16
3395,2,122,137,18
3396,3,129,139,15
3397,4,137,125,24
3398,5,140,130,20
3399,6,144,128,21
3400,0,142,130,24
3401,1,142,138,20
3402,2,137,142,22
3403,3,139,146,19
3404,4,125,150,11
3405,5,130,137,19
3406,6,128,136,11
3407,0,130,126,20
3408,1,138,122,19
3409,2,142,121,19
3410,3,146,118,26
3411,4,150,125,22
3412,5,137,136,23
3413,6,136,140,18
3414,0,126,147,16
3415,1,122,143,19
3416,2,121,143,27
3417,3,118,151,17
3418,4,125,142,31
3419,5,136,151,10
3420,6,140,138,18
3421,0,147,138,17
3422,1,143,139,19
3423,2,143,139,13
3424,3,151,125,17
3425,4,142,125,19
3426,5,151,113,12
3427,6,138,115,24
3428,0,138,121,18
3429,1,139,122,14
3430,2,139,117,21
3431,3,125,125,19
3432,4,125,127,16
3433,5,113,124,27
3434,6,115,139,21
3435,0,121,136,17
3436,1,122,135,15
3437,2,117,136,12
3438,3,125,127,14
3439,4,127,122,27
3440,5,124,133,20
3441,6,139,126,22
3442,0,136,127,11
3443,1,135,121,12
3444,2,136,118,15
3445,3,127,121,10
3446,4,122,117,19
3447,5,133,109,10
3448,6,126,99,15
3449,0,127,92,13
3450,1,121,94,12
3451,2,118,94,15
3452,3,121,94,15
3453,4,117,99,19
3454,5,109,99,16
3455,6,99,105,24
3456,0,92,114,19
3457,1,94,120,17
3458,2,94,125,9
3459,3,94,119,15
3460,4,99,119,18
3461,5,99,118,19
3462,6,105,121,19
3463,0,114,116,21
3464,1,120,118,18
3465,2,125,119,16
3466,3,119,126,22
3467,4,119,133,16
3468,5,118,131,15
3469,6,121,127,14
3470,0,116,122,21
3471,1,118,122,19
3472,2,119,123,22
3473,3,126,129,17
3474,4,133,124,18
3475,5,131,126,16
3476,6,127,127,18
3477,0,122,131,11
3478,1,122,121,20
3479,2,123,122,17
3480,3,129,117,17
3481,4,124,117,13
3482,5,126,112,17
3483,6,127,113,21
3484,0,131,116,15
3485,1,121,120,10
3486,2,122,110,19
3487,3,117,112,14
3488,4,117,109,17
3489,5,112,113,6
3490,6,113,102,14
3491,0,116,95,11
3492,1,120,91,8
3493,2,110,89,14
3494,3,112,84,14
3495,4,109,84,19
3496,5,113,86,13
3497,6,102,93,17
3498,0,95,96,16
3499,1,91,101,21
3500,2,89,114,15
3501,3,84,115,7
3502,4,84,108,19
3503,5,86,108,13
3504,6,93,108,13
3505,0,96,104,29
3506,1,101,117,16
3507,2,114,112,24
3508,3,115,121,20
3509,4,108,134,18
3510,5,108,133,24
3511,6,108,144,13
3512,0,104,144,20
3513,1,117,135,16
3514,2,112,135,19
3515,3,121,130,22
3516,4,134,132,16
3517,5,133,130,12
3518,6,144,118,18
3519,0,144,123,28
3520,1,135,131,34
3521,2,135,149,24
3522,3,130,154,16
3523,4,132,148,18
3524,5,130,150,16
3525,6,118,154,16
3526,0,123,152,21
3527,1,131,145,18
3528,2,149,129,16
3529,3,154,121,18
3530,4,148,123,16
3531,5,150,121,16
3532,6,154,121,18
3533,0,152,123,18
3534,1,145,120,15
3535,2,129,117,20
3536,3,121,121,19
3537,4,123,122,13
3538,5,121,119,15
3539,6,121,118,15
3540,0,123,115,16
3541,1,120,113,13
3542,2,117,111,13
3543,3,121,104,18
3544,4,122,103,22
3545,5,119,112,10
3546,6,118,107,15
3547,0,115,107,8
3548,1,113,99,13
3549,2,111,99,12
3550,3,104,98,21
3551,4,103,101,21
3552,5,112,100,18
3553,6,107,108,11
3554,0,107,104,7
3555,1,99,103,10
3556,2,99,100,2
3557,3,98,90,1
3558,4,101,70,0
3559,5,100,49,0
3560,6,108,31,0
