dayno,dow,sums1,sums2,cc
3288,0,114,136,18
3289,1,121,133,24
3290,2,106,147,18
3291,3,103,147,17
3292,4,108,145,20
3293,5,116,139,11
3294,6,124,132,9
3295,0,136,117,18
3296,1,133,117,17
3297,2,147,110,14
3298,3,147,106,17
3299,4,145,106,32
3300,5,139,118,14
3301,6,132,121,24
3302,0,117,136,22
3303,1,117,140,18
3304,2,110,141,10
3305,3,106,137,13
3306,4,106,133,19
3307,5,118,120,12
3308,6,121,118,20
3309,0,136,114,17
3310,1,140,109,20
3311,2,141,111,29
3312,3,137,130,28
3313,4,133,145,36
3314,5,120,162,18
3315,6,118,168,29
3316,0,114,177,21
3317,1,109,181,13
3318,2,111,174,32
3319,3,130,177,25
3320,4,145,174,33
3321,5,162,171,13
3322,6,168,166,17
3323,0,177,154,15
3324,1,181,148,29
3325,2,174,164,19
3326,3,177,151,34
3327,4,174,160,18
3328,5,171,145,25
3329,6,166,157,20
3330,0,154,160,23
3331,1,148,168,20
3332,2,164,159,31
3333,3,151,171,21
3334,4,160,158,27
3335,5,145,167,24
3336,6,157,166,18
3337,0,160,164,18
3338,1,168,159,16
3339,2,159,155,19
3340,3,171,143,26
3341,4,158,148,31
3342,5,167,152,23
3343,6,166,151,11
3344,0,164,144,22
3345,1,159,148,16
3346,2,155,148,12
3347,3,143,141,25
3348,4,148,140,30
3349,5,152,139,22
3350,6,151,138,12
3351,0,144,139,23
3352,1,148,140,27
3353,2,148,151,23
3354,3,141,162,21
3355,4,140,158,19
3356,5,139,147,23
3357,6,138,148,21
3358,0,139,157,13
3359,1,140,147,21
3360,2,151,141,16
3361,3,162,134,17
3362,4,158,130,24
3363,5,147,135,25
3364,6,148,137,21
3365,0,157,137,18
3366,1,147,142,17
3367,2,141,138,15
3368,3,134,137,25
3369,4,130,145,30
3370,5,135,151,21
3371,6,137,147,19
3372,0,137,145,12
3373,1,142,139,19
3374,2,138,141,22
3375,3,137,148,14
3376,4,145,137,27
3377,5,151,134,22
3378,6,147,135,25
3379,0,145,141,18
3380,1,139,147,18
3381,2,141,146,24
3382,3,148,148,13
3383,4,137,147,11
3384,5,134,131,25
3385,6,135,134,25
3386,0,141,134,16
3387,1,147,132,22
3388,2,146,136,19
3389,3,148,131,29
3390,4,147,147,25
3391,5,131,161,14
3392,6,134,150,26
3393,0,134,151,20
3394,1,132,155,44
3395,2,136,177,21
3396,3,131,179,28
3397,4,147,178,27
3398,5,161,180,26
3399,6,150,192,18
3400,0,151,184,25
3401,1,155,189,19
3402,2,177,164,25
3403,3,179,168,22
3404,4,178,162,24
3405,5,180,159,34
3406,6,192,167,29
3407,0,184,178,35
3408,1,189,188,22
3409,2,164,191,20
3410,3,168,186,28
3411,4,162,192,17
3412,5,159,185,27
3413,6,167,178,31
3414,0,178,180,13
3415,1,188,158,24
3416,2,191,160,21
3417,3,186,161,20
3418,4,192,153,24
3419,5,185,160,20
3420,6,178,153,26
3421,0,180,148,22
3422,1,158,157,8
3423,2,160,141,32
3424,3,161,152,25
3425,4,153,157,27
3426,5,160,160,25
3427,6,153,165,35
3428,0,148,174,12
3429,1,157,164,21
3430,2,141,177,29
3431,3,152,174,21
3432,4,157,170,21
3433,5,160,164,31
3434,6,165,170,32
3435,0,174,167,14
3436,1,164,169,24
3437,2,177,172,41
3438,3,174,184,20
3439,4,170,183,24
3440,5,164,186,16
3441,6,170,171,19
3442,0,167,158,21
3443,1,169,165,21
3444,2,172,162,17
3445,3,184,138,24
3446,4,183,142,25
3447,5,186,143,18
3448,6,171,145,25
3449,0,158,151,28
3450,1,165,158,15
3451,2,162,152,18
3452,3,138,153,19
3453,4,142,148,32
3454,5,143,155,24
3455,6,145,161,21
3456,0,151,157,23
3457,1,158,152,19
3458,2,152,156,22
3459,3,153,160,13
3460,4,148,154,16
3461,5,155,138,29
3462,6,161,143,14
3463,0,157,136,27
3464,1,152,140,23
3465,2,156,144,20
3466,3,160,142,25
3467,4,154,154,28
3468,5,138,166,22
3469,6,143,159,20
3470,0,136,165,33
3471,1,140,171,23
3472,2,144,171,18
3473,3,142,169,21
3474,4,154,165,28
3475,5,166,165,25
3476,6,159,168,15
3477,0,165,163,23
3478,1,171,153,20
3479,2,171,150,19
3480,3,169,151,28
3481,4,165,158,28
3482,5,165,158,22
3483,6,168,155,28
3484,0,163,168,29
3485,1,153,174,12
3486,2,150,166,16
3487,3,151,163,24
3488,4,158,159,30
3489,5,158,161,15
3490,6,155,154,15
3491,0,168,141,16
3492,1,174,128,17
3493,2,166,133,19
3494,3,163,136,12
3495,4,159,124,11
3496,5,161,105,21
3497,6,154,111,11
3498,0,141,107,19
3499,1,128,110,12
3500,2,133,105,27
3501,3,136,113,22
3502,4,124,123,30
3503,5,105,142,32
3504,6,111,153,13
3505,0,107,155,20
3506,1,110,156,14
3507,2,105,158,23
3508,3,113,154,18
3509,4,123,150,36
3510,5,142,156,40
3511,6,153,164,26
3512,0,155,177,13
3513,1,156,170,20
3514,2,158,176,15
3515,3,154,168,32
3516,4,150,182,8
3517,5,156,154,24
3518,6,164,138,12
3519,0,177,124,21
3520,1,170,132,20
3521,2,176,132,15
3522,3,168,132,26
3523,4,182,126,31
3524,5,154,149,23
3525,6,138,148,18
3526,0,124,154,10
3527,1,132,143,27
3528,2,132,150,16
3529,3,132,151,21
3530,4,126,146,15
3531,5,149,130,13
3532,6,148,120,12
3533,0,154,114,34
3534,1,143,138,13
3535,2,150,124,12
3536,3,151,120,20
3537,4,146,119,21
3538,5,130,125,29
3539,6,120,141,19
3540,0,114,148,18
3541,1,138,132,22
3542,2,124,141,31
3543,3,120,160,23
3544,4,119,163,34
3545,5,125,176,12
3546,6,141,159,15
3547,0,148,155,18
3548,1,132,155,13
3549,2,141,146,18
3550,3,160,133,18
3551,4,163,128,30
3552,5,176,124,8
3553,6,159,120,22
3554,0,155,127,8
3555,1,155,117,14
3556,2,146,118,13
3557,3,133,113,6
3558,4,128,101,0
3559,5,124,71,0
3560,6,120,63,0
