dayno,dow,sums1,sums2,cc
3288,0,32,29,6
3289,1,32,30,1
3290,2,31,27,5
3291,3,31,26,4
3292,4,26,27,6
3293,5,33,25,11
3294,6,31,36,1
3295,0,29,34,4
3296,1,30,32,2
3297,2,27,33,6
3298,3,26,34,8
3299,4,27,38,9
3300,5,25,41,5
3301,6,36,35,2
3302,0,34,36,2
3303,1,32,34,3
3304,2,33,35,4
3305,3,34,33,0
3306,4,38,25,4
3307,5,41,20,6
3308,6,35,21,4
3309,0,36,23,9
3310,1,34,30,8
3311,2,35,35,5
3312,3,33,36,0
3313,4,25,36,5
3314,5,20,37,2
3315,6,21,33,4
3316,0,23,33,5
3317,1,30,29,5
3318,2,35,26,4
3319,3,36,25,3
3320,4,36,28,3
3321,5,37,26,7
3322,6,33,31,2
3323,0,33,29,5
3324,1,29,29,1
3325,2,26,25,4
3326,3,25,25,2
3327,4,28,24,4
3328,5,26,25,6
3329,6,31,24,3
3330,0,29,25,2
3331,1,29,22,6
3332,2,25,27,3
3333,3,25,26,0
3334,4,24,24,5
3335,5,25,25,4
3336,6,24,23,5
3337,0,25,25,4
3338,1,22,27,4
3339,2,27,25,1
3340,3,26,23,2
3341,4,24,25,3
3342,5,25,23,3
3343,6,23,22,1
3344,0,25,18,8
3345,1,27,22,2
3346,2,25,20,4
3347,3,23,23,3
3348,4,25,24,3
3349,5,23,24,5
3350,6,22,26,4
3351,0,18,29,3
3352,1,22,24,10
3353,2,20,32,3
3354,3,23,31,4
3355,4,24,32,6
3356,5,24,35,0
3357,6,26,30,2
3358,0,29,28,1
3359,1,24,26,5
3360,2,32,21,5
3361,3,31,23,6
3362,4,32,25,4
3363,5,35,23,4
3364,6,30,27,3
3365,0,28,28,2
3366,1,26,29,6
3367,2,21,30,4
3368,3,23,29,5
3369,4,25,28,5
3370,5,23,29,10
3371,6,27,35,5
3372,0,28,37,3
3373,1,29,38,3
3374,2,30,35,6
3375,3,29,37,7
3376,4,28,39,3
3377,5,29,37,2
3378,6,35,29,3
3379,0,37,27,11
3380,1,38,35,6
3381,2,35,38,3
3382,3,37,35,2
3383,4,39,30,2
3384,5,37,29,4
3385,6,29,31,4
3386,0,27,32,8
3387,1,35,29,1
3388,2,38,24,6
3389,3,35,27,2
3390,4,30,27,8
3391,5,29,33,8
3392,6,31,37,2
3393,0,32,35,7
3394,1,29,34,4
3395,2,24,37,13
3396,3,27,44,1
3397,4,27,43,9
3398,5,33,44,4
3399,6,37,40,2
3400,0,35,40,1
3401,1,34,34,4
3402,2,37,34,4
3403,3,44,25,7
3404,4,43,31,8
3405,5,44,30,8
3406,6,40,34,1
3407,0,40,33,7
3408,1,34,39,7
3409,2,34,42,3
3410,3,25,41,4
3411,4,31,38,10
3412,5,30,40,0
3413,6,34,32,5
3414,0,33,36,2
3415,1,39,31,2
3416,2,42,26,1
3417,3,41,24,5
3418,4,38,25,2
3419,5,40,17,9
3420,6,32,26,7
3421,0,36,28,4
3422,1,31,30,7
3423,2,26,35,1
3424,3,24,35,1
3425,4,25,31,8
3426,5,17,37,2
3427,6,26,30,4
3428,0,28,27,4
3429,1,30,27,4
3430,2,35,24,2
3431,3,35,25,2
3432,4,31,26,7
3433,5,37,25,3
3434,6,30,26,6
3435,0,27,28,3
3436,1,27,27,4
3437,2,24,27,6
3438,3,25,31,2
3439,4,26,31,6
3440,5,25,30,3
3441,6,26,30,6
3442,0,28,30,6
3443,1,27,33,9
3444,2,27,38,5
3445,3,31,37,4
3446,4,31,39,6
3447,5,30,39,3
3448,6,30,39,7
3449,0,30,40,1
3450,1,33,35,1
3451,2,38,27,5
3452,3,37,27,6
3453,4,39,29,3
3454,5,39,26,8
3455,6,39,31,1
3456,0,40,25,1
3457,1,35,25,6
3458,2,27,30,8
3459,3,27,33,3
3460,4,29,30,2
3461,5,26,29,10
3462,6,31,31,3
3463,0,25,33,6
3464,1,25,38,5
3465,2,30,37,4
3466,3,33,33,9
3467,4,30,39,2
3468,5,29,39,5
3469,6,31,34,4
3470,0,33,35,9
3471,1,38,38,5
3472,2,37,38,4
3473,3,33,38,3
3474,4,39,32,8
3475,5,39,38,6
3476,6,34,39,2
3477,0,35,37,8
3478,1,38,36,5
3479,2,38,36,4
3480,3,38,36,10
3481,4,32,43,10
3482,5,38,45,10
3483,6,39,49,5
3484,0,37,52,4
3485,1,36,48,2
3486,2,36,45,6
3487,3,36,47,0
3488,4,43,37,4
3489,5,45,31,7
3490,6,49,28,3
3491,0,52,26,3
3492,1,48,25,7
3493,2,45,30,8
3494,3,47,32,3
3495,4,37,35,6
3496,5,31,37,4
3497,6,28,34,8
3498,0,26,39,6
3499,1,25,42,10
3500,2,30,45,4
3501,3,32,41,5
3502,4,35,43,11
3503,5,37,48,6
3504,6,34,50,4
3505,0,39,46,3
3506,1,42,43,1
3507,2,45,34,0
3508,3,41,30,2
3509,4,43,27,2
3510,5,48,18,1
3511,6,50,13,8
3512,0,46,17,3
3513,1,43,17,3
3514,2,34,19,9
3515,3,30,28,1
3516,4,27,27,4
3517,5,18,29,8
3518,6,13,36,6
3519,0,17,34,6
3520,1,17,37,4
3521,2,19,38,4
3522,3,28,33,8
3523,4,27,40,4
3524,5,29,40,7
3525,6,36,39,2
3526,0,34,35,2
3527,1,37,31,6
3528,2,38,33,5
3529,3,33,34,3
3530,4,40,29,10
3531,5,40,35,7
3532,6,39,35,6
3533,0,35,39,5
3534,1,31,42,5
3535,2,33,41,4
3536,3,34,40,4
3537,4,29,41,3
3538,5,35,34,8
3539,6,35,35,4
3540,0,39,33,9
3541,1,42,37,4
3542,2,41,36,1
3543,3,40,33,4
3544,4,41,33,2
3545,5,34,32,11
3546,6,35,35,6
3547,0,33,37,1
3548,1,37,29,8
3549,2,36,33,3
3550,3,33,35,3
3551,4,33,34,1
3552,5,32,33,1
3553,6,35,23,2
3554,0,37,19,0
3555,1,29,18,1
3556,2,33,11,1
3557,3,35,9,1
3558,4,34,7,0
3559,5,33,6,0
3560,6,23,5,1
