dayno,dow,sums1,sums2,cc
3288,0,268,305,34
3289,1,262,309,46
3290,2,257,306,38
3291,3,282,289,40
3292,4,269,302,45
3293,5,262,310,29
3294,6,271,286,35
3295,0,305,267,34
3296,1,309,267,47
3297,2,306,268,47
3298,3,289,277,43
3299,4,302,280,35
3300,5,310,270,50
3301,6,286,291,38
3302,0,267,294,34
3303,1,267,294,49
3304,2,268,296,25
3305,3,277,274,31
3306,4,280,262,72
3307,5,270,299,45
3308,6,291,294,31
3309,0,294,287,43
3310,1,294,296,32
3311,2,296,279,52
3312,3,274,306,47
3313,4,262,322,59
3314,5,299,309,43
3315,6,294,307,53
3316,0,287,329,35
3317,1,296,321,39
3318,2,279,328,29
3319,3,306,305,41
3320,4,322,299,59
3321,5,309,299,51
3322,6,307,307,33
3323,0,329,287,45
3324,1,321,297,36
3325,2,328,294,46
3326,3,305,311,33
3327,4,299,303,44
3328,5,299,288,51
3329,6,307,288,36
3330,0,287,291,37
3331,1,297,283,34
3332,2,294,281,34
3333,3,311,269,38
3334,4,303,274,46
3335,5,288,276,32
3336,6,288,257,58
3337,0,291,279,34
3338,1,283,276,29
3339,2,281,271,44
3340,3,269,281,52
3341,4,274,295,54
3342,5,276,303,41
3343,6,257,312,49
3344,0,279,303,38
3345,1,276,307,37
3346,2,271,315,31
3347,3,281,302,35
3348,4,295,285,32
3349,5,303,263,55
3350,6,312,277,44
3351,0,303,272,42
3352,1,307,276,32
3353,2,315,271,44
3354,3,302,284,34
3355,4,285,283,49
3356,5,263,300,43
3357,6,277,288,42
3358,0,272,286,32
3359,1,276,276,37
3360,2,271,281,27
3361,3,284,264,36
3362,4,283,266,42
3363,5,300,259,56
3364,6,288,272,44
3365,0,286,274,40
3366,1,276,282,31
3367,2,281,276,36
3368,3,264,285,39
3369,4,266,288,58
3370,5,259,304,42
3371,6,272,290,50
3372,0,274,296,35
3373,1,282,291,21
3374,2,276,281,29
3375,3,285,274,29
3376,4,288,264,34
3377,5,304,240,29
3378,6,290,227,35
3379,0,296,212,41
3380,1,291,218,28
3381,2,281,225,42
3382,3,274,238,38
3383,4,264,247,51
3384,5,240,264,40
3385,6,227,275,42
3386,0,212,282,30
3387,1,218,271,27
3388,2,225,270,33
3389,3,238,261,49
3390,4,247,272,46
3391,5,264,267,32
3392,6,275,259,46
3393,0,282,263,33
3394,1,271,266,34
3395,2,270,273,37
3396,3,261,277,46
3397,4,272,274,44
3398,5,267,272,32
3399,6,259,272,29
3400,0,263,255,55
3401,1,266,277,33
3402,2,273,276,14
3403,3,277,253,44
3404,4,274,251,29
3405,5,272,236,51
3406,6,272,255,47
3407,0,255,273,35
3408,1,277,253,44
3409,2,276,264,40
3410,3,253,290,24
3411,4,251,270,44
3412,5,236,285,38
3413,6,255,272,36
3414,0,273,261,45
3415,1,253,271,38
3416,2,264,265,33
3417,3,290,258,48
3418,4,270,282,57
3419,5,285,295,43
3420,6,272,300,26
3421,0,261,290,38
3422,1,271,283,26
3423,2,265,271,36
3424,3,258,274,34
3425,4,282,260,27
3426,5,295,230,38
3427,6,300,225,35
3428,0,290,234,32
3429,1,283,228,38
3430,2,271,240,33
3431,3,274,237,27
3432,4,260,230,37
3433,5,230,240,30
3434,6,225,232,28
3435,0,234,225,28
3436,1,228,221,33
3437,2,240,216,27
3438,3,237,210,42
3439,4,230,225,47
3440,5,240,235,26
3441,6,232,231,34
3442,0,225,237,30
3443,1,221,239,32
3444,2,216,238,39
3445,3,210,250,33
3446,4,225,241,35
3447,5,235,229,28
3448,6,231,231,19
3449,0,237,216,22
3450,1,239,208,28
3451,2,238,204,36
3452,3,250,201,42
3453,4,241,210,37
3454,5,229,212,32
3455,6,231,216,46
3456,0,216,243,38
3457,1,208,259,21
3458,2,204,252,35
3459,3,201,251,41
3460,4,210,250,41
3461,5,212,254,88
3462,6,216,310,64
3463,0,243,328,39
3464,1,259,329,46
3465,2,252,354,52
3466,3,251,371,38
3467,4,250,368,55
3468,5,254,382,52
3469,6,310,346,27
3470,0,328,309,30
3471,1,329,300,58
3472,2,354,312,46
3473,3,371,306,34
3474,4,368,302,37
3475,5,382,284,32
3476,6,346,264,30
3477,0,309,267,29
3478,1,300,266,26
3479,2,312,234,27
3480,3,306,215,31
3481,4,302,212,44
3482,5,284,219,36
3483,6,264,223,38
3484,0,267,231,32
3485,1,266,234,34
3486,2,234,242,32
3487,3,215,247,31
3488,4,212,247,56
3489,5,219,259,64
3490,6,223,287,13
3491,0,231,262,36
3492,1,234,266,46
3493,2,242,278,35
3494,3,247,281,45
3495,4,247,295,37
3496,5,259,276,40
3497,6,287,252,38
3498,0,262,277,33
3499,1,266,274,31
3500,2,278,259,42
3501,3,281,266,33
3502,4,295,254,38
3503,5,276,255,32
3504,6,252,247,34
3505,0,277,243,47
3506,1,274,257,37
3507,2,259,263,27
3508,3,266,248,21
3509,4,254,236,36
3510,5,255,234,35
3511,6,247,237,22
3512,0,243,225,35
3513,1,257,213,29
3514,2,263,205,37
3515,3,248,215,32
3516,4,236,226,32
3517,5,234,222,26
3518,6,237,213,42
