dayno,dow,sums1,sums2,cc
3288,0,196,184,24
3289,1,151,188,26
3290,2,148,192,34
3291,3,149,206,30
3292,4,147,214,29
3293,5,158,206,21
3294,6,162,199,25
3295,0,184,189,24
3296,1,188,189,27
3297,2,192,190,28
3298,3,206,184,38
3299,4,214,192,29
3300,5,206,192,57
3301,6,199,228,33
3302,0,189,236,27
3303,1,189,239,23
3304,2,190,235,31
3305,3,184,238,21
3306,4,192,221,27
3307,5,192,219,32
3308,6,228,194,53
3309,0,236,214,18
3310,1,239,205,22
3311,2,235,204,38
3312,3,238,211,33
3313,4,221,223,29
3314,5,219,225,42
3315,6,194,235,22
3316,0,214,204,28
3317,1,205,214,41
3318,2,204,233,30
3319,3,211,225,24
3320,4,223,216,27
3321,5,225,214,29
3322,6,235,201,14
3323,0,204,193,31
3324,1,214,196,30
3325,2,233,185,38
3326,3,225,193,21
3327,4,216,190,45
3328,5,214,208,27
3329,6,201,206,41
3330,0,193,233,27
3331,1,196,229,28
3332,2,185,227,22
3333,3,193,211,22
3334,4,190,212,32
3335,5,208,199,31
3336,6,206,203,29
3337,0,233,191,21
3338,1,229,185,37
3339,2,227,194,32
3340,3,211,204,30
3341,4,212,212,35
3342,5,199,215,28
3343,6,203,212,24
3344,0,191,207,22
3345,1,185,208,21
3346,2,194,192,39
3347,3,204,199,27
3348,4,212,196,37
3349,5,215,198,23
3350,6,212,193,28
3351,0,207,197,41
3352,1,208,216,30
3353,2,192,225,29
3354,3,199,215,20
3355,4,196,208,41
3356,5,198,212,31
3357,6,193,220,31
3358,0,197,223,29
3359,1,216,211,32
3360,2,225,213,23
3361,3,215,207,24
3362,4,208,211,28
3363,5,212,198,26
3364,6,220,193,27
3365,0,223,189,35
3366,1,211,195,35
3367,2,213,198,34
3368,3,207,209,39
3369,4,211,224,27
3370,5,198,223,32
3371,6,193,229,21
3372,0,189,223,32
3373,1,195,220,30
3374,2,198,215,30
3375,3,209,211,26
3376,4,224,198,26
3377,5,223,197,25
3378,6,229,190,29
3379,0,223,198,25
3380,1,220,191,25
3381,2,215,186,33
3382,3,211,189,19
3383,4,198,182,27
3384,5,197,183,22
3385,6,190,180,11
3386,0,198,162,26
3387,1,191,163,27
3388,2,186,165,37
3389,3,189,169,26
3390,4,182,176,33
3391,5,183,182,30
3392,6,180,190,26
3393,0,162,205,29
3394,1,163,208,26
3395,2,165,207,25
3396,3,169,195,25
3397,4,176,194,36
3398,5,182,197,34
3399,6,190,201,23
3400,0,205,198,37
3401,1,208,206,21
3402,2,207,201,24
3403,3,195,200,26
3404,4,194,201,43
3405,5,197,208,29
3406,6,201,203,24
3407,0,198,204,34
3408,1,206,201,27
3409,2,201,207,40
3410,3,200,223,27
3411,4,201,224,21
3412,5,208,202,24
3413,6,203,197,36
3414,0,204,209,33
3415,1,201,208,42
3416,2,207,223,26
3417,3,223,209,29
3418,4,224,211,25
3419,5,202,215,26
3420,6,197,217,30
3421,0,209,211,32
3422,1,208,210,33
3423,2,223,201,22
3424,3,209,197,15
3425,4,211,183,26
3426,5,215,184,32
3427,6,217,190,27
3428,0,211,187,30
3429,1,210,185,24
3430,2,201,176,30
3431,3,197,184,26
3432,4,183,195,31
3433,5,184,200,19
3434,6,190,187,13
3435,0,187,173,28
3436,1,185,171,36
3437,2,176,183,26
3438,3,184,179,28
3439,4,195,181,18
3440,5,200,168,27
3441,6,187,176,16
3442,0,173,179,37
3443,1,171,188,10
3444,2,183,162,16
3445,3,179,152,19
3446,4,181,143,16
3447,5,168,141,17
3448,6,176,131,20
3449,0,179,135,20
3450,1,188,118,16
3451,2,162,124,39
3452,3,152,147,19
3453,4,143,147,19
3454,5,141,150,18
3455,6,131,151,24
3456,0,135,155,27
3457,1,118,162,23
3458,2,124,169,30
3459,3,147,160,44
3460,4,147,185,34
3461,5,150,200,20
3462,6,151,202,23
3463,0,155,201,36
3464,1,162,210,21
3465,2,169,208,38
3466,3,160,216,31
3467,4,185,203,19
3468,5,200,188,16
3469,6,202,184,36
3470,0,201,197,35
3471,1,210,196,33
3472,2,208,208,42
3473,3,216,212,34
3474,4,203,215,24
3475,5,188,220,16
3476,6,184,220,25
3477,0,197,209,20
3478,1,196,194,32
3479,2,208,193,20
3480,3,212,171,26
3481,4,215,163,25
3482,5,220,164,24
3483,6,220,172,18
3484,0,209,165,21
3485,1,194,166,22
3486,2,193,156,16
3487,3,171,152,38
3488,4,163,164,33
3489,5,164,172,28
3490,6,172,176,25
3491,0,165,183,14
3492,1,166,176,30
3493,2,156,184,22
3494,3,152,190,28
3495,4,164,180,23
3496,5,172,170,26
3497,6,176,168,28
3498,0,183,171,42
3499,1,176,199,25
3500,2,184,194,42
3501,3,190,214,21
3502,4,180,207,18
3503,5,170,202,27
3504,6,168,203,20
3505,0,171,195,22
3506,1,199,175,25
3507,2,194,175,29
3508,3,214,162,21
3509,4,207,162,37
3510,5,202,181,21
3511,6,203,175,25
3512,0,195,180,33
3513,1,175,191,22
3514,2,175,188,20
3515,3,162,179,24
3516,4,162,182,18
3517,5,181,163,25
3518,6,175,167,29
3519,0,180,171,18
3520,1,191,156,27
3521,2,188,161,34
