dayno,dow,sums1,sums2,cc
7,2,0,188,23
8,3,0,170,16
9,4,0,157,20
10,5,0,157,18
11,6,0,143,19
12,0,0,144,23
13,1,0,139,26
14,2,188,145,16
15,3,170,138,19
16,4,157,141,36
17,5,157,157,16
18,6,143,155,20
19,0,144,156,25
20,1,139,158,28
21,2,145,160,25
22,3,138,169,34
23,4,141,184,38
24,5,157,186,23
25,6,155,193,25
26,0,156,198,29
27,1,158,202,32
28,2,160,206,26
29,3,169,207,18
30,4,184,191,27
31,5,186,180,30
32,6,193,187,24
33,0,198,186,31
34,1,202,188,25
35,2,206,181,16
36,3,207,171,25
37,4,191,178,31
38,5,180,182,20
39,6,187,172,25
40,0,186,173,39
41,1,188,181,17
42,2,181,173,22
43,3,171,179,30
44,4,178,184,38
45,5,182,191,37
46,6,172,208,18
47,0,173,201,25
48,1,181,187,23
49,2,173,193,29
50,3,179,200,25
51,4,184,195,35
52,5,191,192,28
53,6,208,183,20
54,0,201,185,31
55,1,187,191,25
56,2,193,193,26
57,3,200,190,18
58,4,195,183,30
59,5,192,178,22
60,6,183,172,17
61,0,185,169,20
62,1,191,158,26
63,2,193,159,23
64,3,190,156,25
65,4,183,163,39
66,5,178,172,19
67,6,172,169,13
68,0,169,165,11
69,1,158,156,33
70,2,159,163,25
71,3,156,165,32
72,4,163,172,31
73,5,172,164,30
74,6,169,175,20
75,0,165,182,25
76,1,156,196,31
77,2,163,194,19
78,3,165,188,19
79,4,172,175,10
80,5,164,154,24
81,6,175,148,24
82,0,182,152,24
83,1,196,151,34
84,2,194,154,36
85,3,188,171,25
86,4,175,177,19
87,5,154,186,18
88,6,148,180,29
89,0,152,185,23
90,1,151,184,45
91,2,154,195,23
92,3,171,182,27
93,4,177,184,26
94,5,186,191,28
95,6,180,201,23
96,0,185,195,33
97,1,184,205,21
98,2,195,181,23
99,3,182,181,38
100,4,184,192,24
101,5,191,190,21
102,6,201,183,36
103,0,195,196,28
104,1,205,191,30
105,2,181,200,22
106,3,181,199,14
107,4,192,175,18
108,5,190,169,32
109,6,183,180,17
110,0,196,161,18
111,1,191,151,29
112,2,200,150,23
