dayno,dow,sums1,sums2,cc
3288,0,358,402,39
3289,1,351,404,63
3290,2,339,416,57
3291,3,342,416,87
3292,4,340,451,60
3293,5,331,449,70
3294,6,356,442,56
3295,0,402,432,62
3296,1,404,455,60
3297,2,416,452,58
3298,3,416,453,56
3299,4,451,422,65
3300,5,449,427,76
3301,6,442,433,60
3302,0,432,437,46
3303,1,455,421,41
3304,2,452,402,32
3305,3,453,376,66
3306,4,422,386,66
3307,5,427,387,57
3308,6,433,368,48
3309,0,437,356,54
3310,1,421,364,47
3311,2,402,370,62
3312,3,376,400,51
3313,4,386,385,77
3314,5,387,396,80
3315,6,368,419,65
3316,0,356,436,46
3317,1,364,428,45
3318,2,370,426,56
3319,3,400,420,52
3320,4,385,421,66
3321,5,396,410,63
3322,6,419,393,66
3323,0,436,394,59
3324,1,428,407,47
3325,2,426,409,45
3326,3,420,398,56
3327,4,421,402,69
3328,5,410,405,66
3329,6,393,408,56
3330,0,394,398,54
3331,1,407,393,49
3332,2,409,395,46
3333,3,398,396,42
3334,4,402,382,55
3335,5,405,368,71
3336,6,408,373,52
3337,0,398,369,47
3338,1,393,362,46
3339,2,395,359,65
3340,3,396,378,64
3341,4,382,400,46
3342,5,368,391,63
3343,6,373,383,62
3344,0,369,393,51
3345,1,362,397,49
3346,2,359,400,65
3347,3,378,400,42
3348,4,400,378,58
3349,5,391,390,71
3350,6,383,398,65
3351,0,393,401,64
3352,1,397,414,32
3353,2,400,397,51
3354,3,400,383,62
3355,4,378,403,81
3356,5,390,426,61
3357,6,398,416,69
3358,0,401,420,47
3359,1,414,403,47
3360,2,397,418,42
3361,3,383,409,37
3362,4,403,384,57
3363,5,426,360,66
3364,6,416,365,65
3365,0,420,361,58
3366,1,403,372,67
3367,2,418,392,37
3368,3,409,387,65
3369,4,384,415,63
3370,5,360,421,55
3371,6,365,410,61
3372,0,361,406,62
3373,1,372,410,37
3374,2,392,380,45
3375,3,387,388,48
3376,4,415,371,55
3377,5,421,363,51
3378,6,410,359,66
3379,0,406,364,49
3380,1,410,351,44
3381,2,380,358,59
3382,3,388,372,59
3383,4,371,383,56
3384,5,363,384,58
3385,6,359,391,57
3386,0,364,382,56
3387,1,351,389,64
3388,2,358,409,60
3389,3,372,410,47
3390,4,383,398,55
3391,5,384,397,60
3392,6,391,399,55
3393,0,382,397,54
3394,1,389,395,61
3395,2,409,392,56
3396,3,410,388,60
3397,4,398,401,82
3398,5,397,428,70
3399,6,399,438,58
3400,0,397,441,46
3401,1,395,433,57
3402,2,392,429,54
3403,3,388,427,51
3404,4,401,418,95
3405,5,428,431,68
3406,6,438,429,53
3407,0,441,424,49
3408,1,433,427,58
3409,2,429,428,53
3410,3,427,427,46
3411,4,418,422,58
3412,5,431,385,85
3413,6,429,402,66
3414,0,424,415,44
3415,1,427,410,60
3416,2,428,412,70
3417,3,427,429,56
3418,4,422,439,85
3419,5,385,466,64
3420,6,402,445,40
3421,0,415,419,50
3422,1,410,425,61
3423,2,412,426,68
3424,3,429,424,53
3425,4,439,421,68
3426,5,466,404,62
3427,6,445,402,91
3428,0,419,453,59
3429,1,425,462,53
3430,2,426,454,48
3431,3,424,434,54
3432,4,421,435,62
3433,5,404,429,70
3434,6,402,437,70
3435,0,453,416,61
3436,1,462,418,56
3437,2,454,421,69
3438,3,434,442,51
3439,4,435,439,84
3440,5,429,461,81
3441,6,437,472,65
3442,0,416,467,56
3443,1,418,462,53
3444,2,421,459,43
3445,3,442,433,32
3446,4,439,414,39
3447,5,461,369,59
3448,6,472,347,55
3449,0,467,337,41
3450,1,462,322,37
3451,2,459,306,60
3452,3,433,323,56
3453,4,414,347,51
3454,5,369,359,74
3455,6,347,374,48
3456,0,337,367,45
3457,1,322,371,60
3458,2,306,394,71
3459,3,323,405,54
3460,4,347,403,70
3461,5,359,422,82
3462,6,374,430,91
3463,0,367,473,57
3464,1,371,485,72
3465,2,394,497,66
3466,3,405,492,52
3467,4,403,490,63
3468,5,422,483,76
3469,6,430,477,56
3470,0,473,442,49
3471,1,485,434,75
3472,2,497,437,77
3473,3,492,448,55
3474,4,490,451,72
3475,5,483,460,65
3476,6,477,449,53
3477,0,442,446,45
3478,1,434,442,60
3479,2,437,427,49
3480,3,448,399,65
3481,4,451,409,57
3482,5,460,394,78
3483,6,449,407,68
3484,0,446,422,59
3485,1,442,436,68
3486,2,427,444,60
3487,3,399,455,55
3488,4,409,445,62
3489,5,394,450,60
3490,6,407,432,49
3491,0,422,413,74
3492,1,436,428,58
3493,2,444,418,66
3494,3,455,424,55
3495,4,445,424,88
3496,5,450,450,80
3497,6,432,470,71
3498,0,413,492,32
3499,1,428,450,47
3500,2,418,439,63
3501,3,424,436,69
3502,4,424,450,74
3503,5,450,436,58
3504,6,470,414,69
3505,0,492,412,40
3506,1,450,420,44
3507,2,439,417,56
3508,3,436,410,69
3509,4,450,410,49
3510,5,436,385,58
3511,6,414,385,47
3512,0,412,363,49
3513,1,420,372,63
3514,2,417,391,56
3515,3,410,391,54
3516,4,410,376,70
3517,5,385,397,64
3518,6,385,403,56
3519,0,363,412,59
3520,1,372,422,57
3521,2,391,416,50
3522,3,391,410,54
3523,4,376,410,73
3524,5,397,413,83
3525,6,403,432,48
3526,0,412,424,49
3527,1,422,414,56
3528,2,416,413,69
3529,3,410,432,45
3530,4,410,423,79
3531,5,413,429,57
3532,6,432,403,58
3533,0,424,413,62
3534,1,414,426,85
3535,2,413,455,51
3536,3,432,437,53
3537,4,423,445,58
3538,5,429,424,47
3539,6,403,414,54
3540,0,413,410,51
3541,1,426,399,48
3542,2,455,362,49
3543,3,437,360,56
3544,4,445,363,63
3545,5,424,368,81
3546,6,414,402,54
3547,0,410,402,55
3548,1,399,406,47
3549,2,362,405,50
3550,3,360,406,38
3551,4,363,388,37
3552,5,368,362,37
3553,6,402,318,46
3554,0,402,310,30
3555,1,406,285,24
3556,2,405,262,31
3557,3,406,243,11
3558,4,388,216,0
3559,5,362,179,0
3560,6,318,142,0
