dayno,dow,sums1,sums2,cc
3288,0,149,131,26
3289,1,145,140,14
3290,2,149,132,23
3291,3,143,139,29
3292,4,137,141,30
3293,5,114,162,16
3294,6,120,154,30
3295,0,131,168,20
3296,1,140,162,27
3297,2,132,175,21
3298,3,139,173,22
3299,4,141,166,17
3300,5,162,153,24
3301,6,154,161,11
3302,0,168,142,7
3303,1,162,129,11
3304,2,175,113,26
3305,3,173,118,14
3306,4,166,110,20
3307,5,153,113,13
3308,6,161,102,17
3309,0,142,108,9
3310,1,129,110,19
3311,2,113,118,28
3312,3,118,120,20
3313,4,110,126,23
3314,5,113,129,11
3315,6,102,127,15
3316,0,108,125,15
3317,1,110,131,22
3318,2,118,134,32
3319,3,120,138,25
3320,4,126,143,12
3321,5,129,132,23
3322,6,127,144,25
3323,0,125,154,19
3324,1,131,158,22
3325,2,134,158,17
3326,3,138,143,31
3327,4,143,149,21
3328,5,132,158,17
3329,6,144,152,23
3330,0,154,150,25
3331,1,158,156,17
3332,2,158,151,20
3333,3,143,154,23
3334,4,149,146,14
3335,5,158,139,15
3336,6,152,137,15
3337,0,150,129,16
3338,1,156,120,10
3339,2,151,113,18
3340,3,154,111,16
3341,4,146,104,34
3342,5,139,124,36
3343,6,137,145,19
3344,0,129,149,28
3345,1,120,161,27
3346,2,113,178,22
3347,3,111,182,26
3348,4,104,192,44
3349,5,124,202,29
3350,6,145,195,23
3351,0,149,199,17
3352,1,161,188,26
3353,2,178,187,21
3354,3,182,186,21
3355,4,192,181,24
3356,5,202,161,31
3357,6,195,163,24
3358,0,199,164,18
3359,1,188,165,13
3360,2,187,152,23
3361,3,186,154,28
3362,4,181,161,22
3363,5,161,159,30
3364,6,163,158,14
3365,0,164,148,16
3366,1,165,146,16
3367,2,152,149,29
3368,3,154,155,15
3369,4,161,142,22
3370,5,159,142,19
3371,6,158,131,26
3372,0,148,143,13
3373,1,146,140,13
3374,2,149,137,24
3375,3,155,132,35
3376,4,142,152,33
3377,5,142,163,26
3378,6,131,170,14
3379,0,143,158,13
3380,1,140,158,11
3381,2,137,156,38
3382,3,132,170,22
3383,4,152,157,29
3384,5,163,153,21
3385,6,170,148,21
3386,0,158,155,10
3387,1,158,152,16
3388,2,156,157,27
3389,3,170,146,15
3390,4,157,139,20
3391,5,153,130,17
3392,6,148,126,27
3393,0,155,132,21
3394,1,152,143,15
3395,2,157,142,16
3396,3,146,131,11
3397,4,139,127,17
3398,5,130,124,31
3399,6,126,138,12
3400,0,132,123,23
3401,1,143,125,22
3402,2,142,132,17
3403,3,131,133,19
3404,4,127,141,9
3405,5,124,133,27
3406,6,138,129,22
3407,0,123,139,33
3408,1,125,149,15
3409,2,132,142,15
3410,3,133,140,15
3411,4,141,136,30
3412,5,133,157,31
3413,6,129,161,22
3414,0,139,161,17
3415,1,149,145,13
3416,2,142,143,19
3417,3,140,147,15
3418,4,136,147,18
3419,5,157,135,16
3420,6,161,120,21
3421,0,161,119,21
3422,1,145,123,27
3423,2,143,137,35
3424,3,147,153,6
3425,4,147,144,19
3426,5,135,145,19
3427,6,120,148,15
3428,0,119,142,19
3429,1,123,140,26
3430,2,137,139,17
3431,3,153,121,15
3432,4,144,130,26
3433,5,145,137,23
3434,6,148,141,27
3435,0,142,153,17
3436,1,140,151,14
3437,2,139,139,25
3438,3,121,147,14
3439,4,130,146,12
3440,5,137,132,26
3441,6,141,135,24
3442,0,153,132,13
3443,1,151,128,13
3444,2,139,127,17
3445,3,147,119,17
3446,4,146,122,19
3447,5,132,129,10
3448,6,135,113,23
3449,0,132,112,17
3450,1,128,116,18
3451,2,127,121,15
3452,3,119,119,21
3453,4,122,123,21
3454,5,129,125,12
3455,6,113,127,20
3456,0,112,124,18
3457,1,116,125,26
3458,2,121,133,13
3459,3,119,131,21
3460,4,123,131,32
3461,5,125,142,24
3462,6,127,154,28
3463,0,124,162,15
3464,1,125,159,20
3465,2,133,153,39
3466,3,131,179,25
3467,4,131,183,17
3468,5,142,168,19
3469,6,154,163,16
3470,0,162,151,22
3471,1,159,158,19
3472,2,153,157,12
3473,3,179,130,18
3474,4,183,123,25
3475,5,168,131,18
3476,6,163,130,17
3477,0,151,131,16
3478,1,158,125,9
3479,2,157,115,10
3480,3,130,113,17
3481,4,123,112,34
3482,5,131,121,23
3483,6,130,126,22
3484,0,131,131,12
3485,1,125,127,15
3486,2,115,133,15
3487,3,113,138,18
3488,4,112,139,17
3489,5,121,122,17
3490,6,126,116,22
3491,0,131,116,20
3492,1,127,124,20
3493,2,133,129,22
3494,3,138,136,15
3495,4,139,133,25
3496,5,122,141,28
3497,6,116,152,18
3498,0,116,148,15
3499,1,124,143,13
3500,2,129,136,14
3501,3,136,128,20
3502,4,133,133,19
3503,5,141,127,22
3504,6,152,121,23
3505,0,148,126,17
3506,1,143,128,10
3507,2,136,125,17
3508,3,128,128,23
3509,4,133,131,18
3510,5,127,130,31
3511,6,121,139,35
3512,0,126,151,22
3513,1,128,156,25
3514,2,125,171,22
3515,3,128,176,25
3516,4,131,178,20
3517,5,130,180,19
3518,6,139,168,16
3519,0,151,149,20
3520,1,156,147,23
3521,2,171,145,11
3522,3,176,134,25
3523,4,178,134,17
3524,5,180,131,15
3525,6,168,127,23
3526,0,149,134,16
3527,1,147,130,21
3528,2,145,128,30
3529,3,134,147,25
3530,4,134,147,22
3531,5,131,152,20
3532,6,127,157,25
3533,0,134,159,17
3534,1,130,160,20
3535,2,128,159,15
3536,3,147,144,21
3537,4,147,140,12
3538,5,152,130,22
3539,6,157,132,20
3540,0,159,127,25
3541,1,160,135,17
3542,2,159,132,13
3543,3,144,130,10
3544,4,140,119,22
3545,5,130,129,14
3546,6,132,121,20
3547,0,127,121,14
3548,1,135,110,18
3549,2,132,111,7
3550,3,130,105,19
3551,4,119,114,11
3552,5,129,103,12
3553,6,121,101,20
3554,0,121,101,8
3555,1,110,95,7
3556,2,111,84,9
3557,3,105,86,4
3558,4,114,71,3
3559,5,103,63,0
3560,6,101,51,0
