dayno,dow,sums1,sums2,cc
7,2,0,36,4
8,3,0,33,5
9,4,0,31,4
10,5,0,29,7
11,6,0,34,3
12,0,0,33,4
13,1,0,32,4
14,2,36,31,5
15,3,33,32,4
16,4,31,31,5
17,5,29,32,2
18,6,34,27,4
19,0,33,28,4
20,1,32,28,10
21,2,31,34,5
22,3,32,34,9
23,4,31,39,3
24,5,32,37,3
25,6,27,38,5
26,0,28,39,2
27,1,28,37,4
28,2,34,31,7
29,3,34,33,4
30,4,39,28,4
31,5,37,29,7
32,6,38,33,13
33,0,39,41,3
34,1,37,42,5
35,2,31,43,1
36,3,33,37,9
37,4,28,42,3
38,5,29,41,6
39,6,33,40,4
40,0,41,31,8
41,1,42,36,8
42,2,43,39,3
43,3,37,41,10
44,4,42,42,8
45,5,41,47,2
46,6,40,43,3
47,0,31,42,7
48,1,36,41,5
49,2,39,38,15
50,3,41,50,5
51,4,42,45,9
52,5,47,46,4
53,6,43,48,8
54,0,42,53,6
55,1,41,52,4
56,2,38,51,9
57,3,50,45,7
58,4,45,47,2
59,5,46,40,11
60,6,48,47,2
61,0,53,41,11
62,1,52,46,6
63,2,51,48,6
64,3,45,45,6
65,4,47,44,7
66,5,40,49,6
67,6,47,44,8
68,0,41,50,9
69,1,46,48,4
70,2,48,46,10
71,3,45,50,4
72,4,44,48,7
73,5,49,48,5
74,6,44,47,8
75,0,50,47,4
76,1,48,42,5
77,2,46,43,2
78,3,50,35,2
79,4,48,33,10
80,5,48,36,6
81,6,47,37,2
82,0,47,31,7
83,1,42,34,3
84,2,43,32,2
85,3,35,32,5
86,4,33,35,5
87,5,36,30,9
88,6,37,33,5
89,0,31,36,5
90,1,34,34,5
91,2,32,36,0
92,3,32,34,5
93,4,35,34,11
94,5,30,40,7
95,6,33,38,1
96,0,36,34,1
97,1,34,30,7
98,2,36,32,8
99,3,34,40,11
100,4,34,46,8
101,5,40,43,3
102,6,38,39,6
103,0,34,44,4
104,1,30,47,7
105,2,32,47,7
106,3,40,46,5
107,4,46,40,5
108,5,43,37,6
109,6,39,40,3
110,0,44,37,2
111,1,47,35,7
112,2,47,35,9
113,3,46,37,4
114,4,40,36,1
115,5,37,32,9
116,6,40,35,6
117,0,37,38,4
118,1,35,40,7
119,2,35,40,1
120,3,37,32,3
121,4,36,31,4
122,5,32,34,8
123,6,35,33,8
124,0,38,35,13
125,1,40,44,5
126,2,40,42,3
127,3,32,44,2
128,4,31,43,10
129,5,34,49,11
130,6,33,52,5
131,0,35,49,13
132,1,44,49,6
133,2,42,50,2
134,3,44,49,3
135,4,43,50,8
136,5,49,48,4
137,6,52,41,4
138,0,49,40,4
139,1,49,31,5
140,2,50,30,5
141,3,49,33,4
142,4,50,34,8
143,5,48,34,4
144,6,41,34,15
145,0,40,45,7
146,1,31,48,6
147,2,30,49,7
148,3,33,51,7
149,4,34,54,14
150,5,34,60,6
151,6,34,62,7
152,0,45,54,8
153,1,48,55,4
154,2,49,53,3
