0,0,0,0,0
1,0,1,0,0
2,0,2,0,0
3,0,3,0,0
4,0,4,0,0
5,0,5,0,0
6,0,6,0,0
7,0,7,0,0
8,0,8,0,0
9,0,9,0,0
10,0,10,0,0
11,0,11,0,0
12,0,12,5,0
13,0,13,96,0
14,0,14,193,1
15,0,15,145,1
16,0,16,204,1
17,0,17,560,1
18,0,18,468,1
19,0,19,148,1
20,0,20,1,1
21,0,21,0,1
22,0,22,0,1
23,0,23,0,1
24,0,24,0,1
25,0,25,0,1
26,0,26,0,1
27,0,27,0,1
28,0,28,0,1
29,0,29,0,1
30,1,0,0,0
31,1,1,0,0
32,1,2,0,0
33,1,3,0,0
34,1,4,0,0
35,1,5,3,0
36,1,6,10,0
37,1,7,247,0
38,1,8,145,0
39,1,9,242,0
40,1,10,195,0
41,1,11,213,0
42,1,12,331,0
43,1,13,292,0
44,1,14,622,1
45,1,15,240,1
46,1,16,11,1
47,1,17,265,1
48,1,18,249,1
49,1,19,248,1
50,1,20,0,1
51,1,21,0,1
52,1,22,0,1
53,1,23,0,1
54,1,24,0,1
55,1,25,0,1
56,1,26,0,1
57,1,27,0,1
58,1,28,0,1
59,1,29,0,1
60,2,0,0,0
61,2,1,0,0
62,2,2,91,0
63,2,3,1,0
64,2,4,2,0
65,2,5,39,0
66,2,6,123,0
67,2,7,295,0
68,2,8,261,0
69,2,9,248,0
70,2,10,194,0
71,2,11,201,0
72,2,12,180,0
73,2,13,250,0
74,2,14,347,0
75,2,15,188,1
76,2,16,13,1
77,2,17,209,1
78,2,18,219,1
79,2,19,300,1
80,2,20,29,1
81,2,21,2,1
82,2,22,0,1
83,2,23,0,1
84,2,24,0,1
85,2,25,0,1
86,2,26,0,1
87,2,27,0,1
88,2,28,0,1
89,2,29,0,1
90,3,0,18,0
91,3,1,66,0
92,3,2,1,0
93,3,3,0,0
94,3,4,4,0
95,3,5,29,0
96,3,6,77,0
97,3,7,175,0
98,3,8,203,0
99,3,9,244,0
100,3,10,148,0
101,3,11,355,0
102,3,12,174,0
103,3,13,190,0
104,3,14,266,0
105,3,15,70,1
106,3,16,10,1
107,3,17,206,1
108,3,18,318,1
109,3,19,230,1
110,3,20,76,1
111,3,21,2,1
