     1     18         18.436      0.436
     2     24         19.579     -4.421
     3     18         21.313      3.313
     4     17         22.15       5.15 
     5     20         22.616      2.616
     6     11         21.689     10.689
     7      9         17.893      8.893
     8     18         17.6       -0.4  
     9     17         18.667      1.667
    10     14         19.648      5.648
    11     17         20.262      3.262
    12     32         20.67     -11.33 
    13     14         20.71       6.71 
    14     24         17.239     -6.761
    15     22         18.463     -3.537
    16     18         19.939      1.939
    17     10         20.904     10.904
    18     13         21.399      8.399
    19     19         21.565      2.565
    20     12         20.222      8.222
    21     20         16.678     -3.322
    22     17         17.304      0.304
    23     20         18.194     -1.806
    24     29         19.478     -9.522
    25     28         21.764     -6.236
    26     36         23.26     -12.74 
    27     18         23.441      5.441
    28     29         20.308     -8.692
    29     21         21.505      0.505
    30     13         22.822      9.822
    31     32         23.431     -8.569
    32     25         25.128      0.128
    33     33         25.759     -7.241
    34     13         25.224     12.224
    35     17         21.39       4.39 
    36     15         21.608      6.608
    37     29         22.422     -6.578
    38     19         24.524      5.524
    39     34         24.517     -9.483
    40     18         25.521      7.521
    41     25         23.538     -1.462
    42     20         20.668      0.668
    43     23         21.34      -1.66 
    44     20         22.937      2.937
    45     31         23.811     -7.189
    46     21         25.231      4.231
    47     27         24.938     -2.062
    48     24         24.409      0.409
    49     18         21.054      3.054
    50     18         21.803      3.803
    51     16         22.816      6.816
    52     19         23.321      4.321
    53     26         23.665     -2.335
    54     31         24.096     -6.904
    55     23         23.883      0.883
    56     11         20.17       9.17 
    57     22         20.333     -1.667
    58     16         21.655      5.655
    59     12         22.627     10.627
    60     25         22.638     -2.362
    61     30         23.162     -6.838
    62     22         22.459      0.459
    63     12         18.793      6.793
    64     23         19.298     -3.702
    65     27         20.663     -6.337
    66     23         22.615     -0.385
    67     21         24.159      3.159
    68     19         24.264      5.264
    69     23         22.662     -0.338
    70     21         19.162     -1.838
    71     13         20.518      7.518
    72     21         20.932     -0.068
    73     16         21.898      5.898
    74     17         22.606      5.606
    75     24         22.627     -1.373
    76     25         21.949     -3.051
    77     21         18.573     -2.427
    78     18         19.476      1.476
    79     17         20.724      3.724
    80     15         21.327      6.327
    81     25         21.96      -3.04 
    82     30         22.916     -7.084
    83     21         22.786      1.786
    84     19         18.996     -0.004
    85     12         19.455      7.455
    86     19         20.305      1.305
    87     22         21.437     -0.563
    88     14         22.87       8.87 
    89     27         22.715     -4.285
    90     22         21.923     -0.077
    91     25         18.33      -6.67 
    92     18         19.356      1.356
    93     18         20.805      2.805
    94     24         21.886     -2.114
    95     13         23.169     10.169
    96     11         23.213     12.213
    97     25         21.173     -3.827
    98     25         17.903     -7.097
    99     16         18.656      2.656
   100     22         19.847     -2.153
   101     19         21.228      2.228
   102     29         21.822     -7.178
   103     25         23.476     -1.524
   104     14         23.326      9.326
   105     26         19.042     -6.958
   106     20         19.735     -0.265
   107     44         21.15     -22.85 
   108     21         24.065      3.065
   109     28         24.965     -3.035
   110     27         25.773     -1.227
   111     26         25.507     -0.493
   112     18         22.423      4.423
   113     25         22.793     -2.207
   114     19         24.445      5.445
   115     25         24.267     -0.733
   116     22         25.516      3.516
   117     24         25.443      1.443
   118     34         24.474     -9.526
   119     29         21.675     -7.325
   120     35         23.299    -11.701
   121     22         25.351      3.351
   122     20         25.893      5.893
   123     28         26.504     -1.496
   124     17         27.153     10.153
   125     27         25.749     -1.251
   126     31         21.802     -9.198
   127     13         23.24      10.24 
   128     24         22.995     -1.005
   129     21         24.318      3.318
   130     20         25.133      5.133
   131     24         25.114      1.114
   132     20         24.621      4.621
   133     26         20.266     -5.734
   134     22         20.782     -1.218
   135      8         21.972     13.972
   136     32         21.883    -10.117
   137     25         23.675     -1.325
   138     27         24.253     -2.747
   139     25         23.903     -1.097
   140     35         20.467    -14.533
   141     12         21.797      9.797
   142     21         22.454      1.454
   143     29         24.057     -4.943
   144     21         25.05       4.05 
   145     21         25.312      4.312
   146     31         24.166     -6.834
   147     32         21.095    -10.905
   148     14         22.015      8.015
   149     24         23.022     -0.978
   150     41         24.72     -16.28 
   151     20         26.407      6.407
   152     24         26.606      2.606
   153     16         25.832      9.832
   154     19         21.259      2.259
   155     21         21.068      0.068
   156     21         22.832      1.832
   157     17         23.775      6.775
   158     24         23.194     -0.806
   159     25         23.899     -1.101
   160     18         23.271      5.271
   161     25         19.373     -5.627
   162     28         20.214     -7.786
   163     15         22.135      7.135
   164     18         22.67       4.67 
   165     19         22.935      3.935
   166     32         23.118     -8.882
   167     24         22.929     -1.071
   168     21         19.844     -1.156
   169     23         20.435     -2.565
   170     19         21.423      2.423
   171     22         22.644      0.644
   172     13         23.89      10.89 
   173     16         23.721      7.721
   174     29         21.954     -7.046
   175     14         18.899      4.899
   176     27         18.948     -8.052
   177     23         20.271     -2.729
   178     20         21.802      1.802
   179     25         22.684     -2.316
   180     28         23.865     -4.135
   181     22         23.546      1.546
   182     20         19.581     -0.419
   183     33         20.536    -12.464
   184     23         22.287     -0.713
   185     18         23.496      5.496
   186     21         24.187      3.187
   187     28         24.664     -3.336
   188     25         24.217     -0.783
   189     15         20.611      5.611
   190     23         21.236     -1.764
   191     20         21.802      1.802
   192     19         22.66       3.66 
   193     28         23.584     -4.416
   194     28         24.426     -3.574
   195     22         23.642      1.642
   196     28         19.866     -8.134
   197     29         21.532     -7.468
   198     12         22.851     10.851
   199     16         23.229      7.229
   200     24         23.934     -0.066
   201     30         24.266     -5.734
   202     15         23.638      8.638
   203     15         19.425      4.425
   204     16         19.547      3.547
   205     17         19.879      2.879
   206     19         21.122      2.122
   207     12         22.182     10.182
   208     11         21.582     10.582
   209     21         19.425     -1.575
   210     11         16.119      5.119
   211     19         16.062     -2.938
   212     12         17.045      5.045
   213     27         17.899     -9.101
   214     22         19.537     -2.463
   215     30         20.421     -9.579
   216     32         20.625    -11.375
   217     13         18.13       5.13 
   218     20         18.707     -1.293
   219     14         20.04       6.04 
   220     23         21.144     -1.856
   221     18         22.001      4.001
   222     36         22.452    -13.548
   223     40         22.72     -17.28 
   224     26         20.009     -5.991
   225     13         21.86       8.86 
   226     20         22.505      2.505
   227     15         24.111      9.111
   228     32         24.278     -7.722
   229      8         25.63      17.63 
   230     24         22.933     -1.067
   231     12         18.34       6.34 
   232     21         18.369     -2.631
   233     20         19.94      -0.06 
   234     15         21.221      6.221
   235     26         21.895     -4.105
   236     31         22.294     -8.706
   237     23         22.469     -0.531
   238     18         18.37       0.37 
   239     10         19.053      9.053
   240     27         19.603     -7.397
   241     16         21.248      5.248
   242     21         22.247      1.247
   243     15         22.137      7.137
   244     13         20.845      7.845
   245     12         16.478      4.478
   246     34         16.832    -17.168
   247     13         19.517      6.517
   248     12         19.737      7.737
   249     20         20.379      0.379
   250     21         20.609     -0.391
   251     29         19.875     -9.125
   252     19         17.294     -1.706
   253     18         18.216      0.216
   254     22         18.864     -3.136
   255     31         20.237    -10.763
   256     23         22.517     -0.483
   257     34         23.172    -10.828
   258     12         23.579     11.579
   259     15         19.169      4.169
   260     18         19.769      1.769
   261     13         20.443      7.443
   262     18         21.115      3.115
   263     18         21.601      3.601
   264     30         21.753     -8.247
   265      8         21.066     13.066
   266     22         16.674     -5.326
   267      8         17.772      9.772
   268     14         18.152      4.152
   269     13         19.05       6.05 
   270      6         19.187     13.187
   271      0         18.563     18.563
   272      0         15.386     15.386
   273      0         11.124     11.12
